OurAirports_name,icao,iata,countryLabel,lat,lon,filename
El Alto International Airport,SLLP,LPB,Bolivia,-16.51333333,-68.19222222,mapbox_-16.51333333_-68.19222222_73.png
Jorge Wilsterman International Airport,SLCB,CBB,Bolivia,-17.42083333,-66.17694444,mapbox_-17.42083333_-66.17694444_74.png
Viru Viru International Airport,SLVR,VVI,Bolivia,-17.64472222,-63.13527778,mapbox_-17.64472222_-63.13527778_76.png
Banja Luka International Airport,LQBK,BNX,Bosnia and Herzegovina,44.94138889,17.2975,mapbox_44.94138889_17.2975_77.png
Mostar International Airport,LQMO,OMO,Bosnia and Herzegovina,43.28277778,17.84583333,mapbox_43.28277778_17.84583333_78.png
Sarajevo International Airport,LQSA,SJJ,Bosnia and Herzegovina,43.82472222,18.33138889,mapbox_43.82472222_18.33138889_79.png
Tuzla International Airport,LQTZ,TZL,Bosnia and Herzegovina,44.45861111,18.72472222,mapbox_44.45861111_18.72472222_80.png
Kasane International Airport,FBKE,BBK,Botswana,-17.82972222,25.16305556,mapbox_-17.82972222_25.16305556_82.png
Maun International Airport,FBMN,MUB,Botswana,-19.9725,23.43111111,mapbox_-19.9725_23.43111111_83.png
Sir Seretse Khama International Airport,FBSK,GBE,Botswana,-24.55583,25.92306,mapbox_-24.55583_25.92306_84.png
Curitiba-Afonso Pena International Airport,SBCT,CWB,Brazil,-25.53166667,-49.17611111,mapbox_-25.53166667_-49.17611111_85.png
Val de Cans/Júlio Cezar Ribeiro International Airport,SBBE,BEL,Brazil,-1.38472,-48.47889,mapbox_-1.38472_-48.47889_87.png
Atlas Brasil Cantanhede International Airport,SBBV,BVB,Brazil,2.84139,-60.69222,mapbox_2.84139_-60.69222_88.png
Presidente Juscelino Kubitschek International Airport,SBBR,BSB,Brazil,-15.87111111,-47.91861111,mapbox_-15.87111111_-47.91861111_89.png
Deputado Luiz Eduardo Magalhães International Airport,SBSV,SSA,Brazil,-12.90861,-38.3225,mapbox_-12.90861_-38.3225_95.png
Hercílio Luz International Airport,SBFL,FLN,Brazil,-27.67027778,-48.5525,mapbox_-27.67027778_-48.5525_96.png
Cataratas International Airport,SBFI,IGU,Brazil,-25.60028,-54.485,mapbox_-25.60028_-54.485_97.png
Governador Jorge Teixeira de Oliveira International Airport,SBPV,PVH,Brazil,-8.713611111,-63.90277778,mapbox_-8.713611111_-63.90277778_99.png
Rio Grande do Norte/São Gonçalo do Amarante__overnador Aluízio Alves International Airport,SBSG,NAT,Brazil,-5.76889,-35.36639,mapbox_-5.76889_-35.36639_100.png
Zumbi dos Palmares International Airport,SBMO,MCZ,Brazil,-9.517222222,-35.78361111,mapbox_-9.517222222_-35.78361111_102.png
Eduardo Gomes International Airport,SBEG,MAO,Brazil,-3.041111111,-60.05055556,mapbox_-3.041111111_-60.05055556_103.png
Marechal Cunha Machado International Airport,SBSL,SLZ,Brazil,-2.586944444,-44.23611111,mapbox_-2.586944444_-44.23611111_104.png
Várzea Grande__arechal Rondon International Airport,SBCY,CGB,Brazil,-15.65,-56.1175,mapbox_-15.65_-56.1175_105.png
Ministro Victor Konder International Airport,SBNF,NVT,Brazil,-26.88,-48.65138889,mapbox_-26.88_-48.65138889_106.png
Pinto Martins International Airport,SBFZ,FOR,Brazil,-3.775833333,-38.53222222,mapbox_-3.775833333_-38.53222222_108.png
Presidente Castro Pinto International Airport,SBJP,JPA,Brazil,-7.145833333,-34.94861111,mapbox_-7.145833333_-34.94861111_109.png
Rio Branco-Plácido de Castro International Airport,SBRB,RBR,Brazil,-9.991944444,-67.80472222,mapbox_-9.991944444_-67.80472222_110.png
Recife/Guararapes - Gilberto Freyre International Airport,SBRF,REC,Brazil,-8.126388888,-34.92277778,mapbox_-8.126388888_-34.92277778_111.png
Rio Galeão _ Tom Jobim International Airport,SBGL,GIG,Brazil,-22.81,-43.25055556,mapbox_-22.81_-43.25055556_113.png
Porto Alegre-Salgado Filho International Airport,SBPA,POA,Brazil,-29.99388889,-51.17111111,mapbox_-29.99388889_-51.17111111_115.png
São Paulo/Guarulhos__overnor André Franco Montoro International Airport,SBGR,GRU,Brazil,-23.43555556,-46.47305556,mapbox_-23.43555556_-46.47305556_116.png
